symbol,underlying_symbol,underlying_price,expiration_date,strike,contract_type,mark,bid,ask,delta,gamma,theta,vega,rho,open_interest,total_volume,volatility
SPXW_2024-10-16_C_5920.0,SPX,5841.88,2024-10-16,5920.0,CALL,0.381,0.381,0.381,0.02542169963428842,0.0014940769779747066,-361.5967692784004,19.742847047918534,0.4815983755031274,0,0,11.9094
SPXW241016C05925000,SPX,5841.88,2024-10-16,5925.0,CALL,0.27,0.245,0.295,0.018754831570284347,0.0011573389593181503,-279.28130497979834,15.270815929080682,0.35533473468373206,0,1,11.8919
SPXW241016P05725000,SPX,5841.88,2024-10-16,5725.0,PUT,0.45,0.425,0.475,-0.020894269990698544,0.0008642091899238412,-449.2838866990545,16.737125976129505,-0.3983101539882385,0,19,17.4547
SPXW_2024-10-16_P_5730.0,SPX,5841.88,2024-10-16,5730.0,PUT,0.5166666666666667,0.5166666666666667,0.5166666666666667,-0.02394391286838815,0.0009846862257898302,-496.1988933686381,18.775341731652173,-0.45644909599191574,0,0,17.1847
SPXW_2024-10-16_P_5735.0,SPX,5841.88,2024-10-16,5735.0,PUT,0.5833333333333334,0.5833333333333334,0.5833333333333334,-0.027100667252452526,0.0011131458046767602,-540.1166398148245,20.827197182833487,-0.5166224175078287,0,0,16.8628
SPXW241016P05740000,SPX,5841.88,2024-10-16,5740.0,PUT,0.65,0.625,0.675,-0.03038877703622611,0.0012515391781791753,-581.1739677158735,22.907955160499306,-0.5792905641328577,0,1,16.4966
SPXW241016P05745000,SPX,5841.88,2024-10-16,5745.0,PUT,0.72,0.695,0.745,-0.033947664039336245,0.001404734040633943,-621.6834698054896,25.101098998858884,-0.647112486024925,0,1,16.1046
SPXW_2024-10-16_P_5750.0,SPX,5841.88,2024-10-16,5750.0,PUT,0.845,0.845,0.845,-0.03953267001418892,0.0016143743319983214,-694.0227926681764,28.431515643828586,-0.7535955038682165,0,0,15.8726
SPXW241016P05755000,SPX,5841.88,2024-10-16,5755.0,PUT,0.97,0.945,0.995,-0.04531007161763512,0.001837690661383873,-760.2372874856959,31.748397619353614,-0.863732741810611,0,22,15.5704
SPXW241016P05760000,SPX,5841.88,2024-10-16,5760.0,PUT,1.162,1.137,1.187,-0.05345946231210941,0.0021208009300364033,-857.900025669755,36.23091617828373,-1.019139186905356,0,8,15.3968
SPXW241016P05765000,SPX,5841.88,2024-10-16,5765.0,PUT,1.312,1.287,1.337,-0.06056131505467732,0.002396765326941241,-923.8953727697907,39.970094579368066,-1.1545131316378368,0,2,15.0301
SPXW241016P05770000,SPX,5841.88,2024-10-16,5770.0,PUT,1.592,1.567,1.617,-0.07192771322236036,0.0027624880493932343,-1046.3940215319176,45.667669783542195,-1.371306689207906,0,2,14.8991
SPXW241016P05775000,SPX,5841.88,2024-10-16,5775.0,PUT,1.83,1.805,1.855,-0.08239381968178483,0.003129873288350552,-1135.396406250251,50.63469038256595,-1.5708643588979394,0,2,14.5805
SPXW241016P05780000,SPX,5841.88,2024-10-16,5780.0,PUT,2.21,2.185,2.235,-0.09725609773472899,0.003574726656133057,-1272.1551492459473,57.2799305496562,-1.8543806843626083,0,24,14.4415
SPXW241016P05785000,SPX,5841.88,2024-10-16,5785.0,PUT,2.57,2.545,2.595,-0.11201769058303823,0.004038809304926335,-1381.8507513903894,63.45535335554692,-2.135919639049726,0,1,14.1601
SPXW241016P05790000,SPX,5841.88,2024-10-16,5790.0,PUT,3.06,3.035,3.085,-0.13063381884102987,0.004559529800522703,-1519.620174138632,70.70311982950953,-2.4910908245177708,0,1,13.9756
